timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
977441681,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977541639,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977591650,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977761585,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977901729,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977933628,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977996518,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978146498,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978236512,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978326462,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978456443,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978521438,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978631386,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978681411,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978776343,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
978871332,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979061282,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979086280,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979246288,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979271268,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979441252,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979556196,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979651149,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979746135,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979771129,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
979941155,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
980061051,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
980146042,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
980416022,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
