timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
902878854,902877812,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
903098726,903097754,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
903288701,903287717,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
903488663,903487692,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
903703655,903702686,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
903898537,903897567,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
904103540,904102514,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
904298473,904297492,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
904413418,904412449,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
904693414,904692428,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
904878341,904877338,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
905103338,905102342,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
905248295,905247298,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
905418301,905417241,-0.42040816,0.5080645,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
905610126,905554710,-0.42040816,0.5080645,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
905878178,905877143,-0.42040816,0.5080645,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
906013122,906012109,-0.42040816,0.5080645,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
906213301,906012109,-0.42040816,0.5080645,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
